US Future/美國期貨,,,,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
NYMEX,POB,"Mini RBOB Gasoline vs. Eurobob Non-Oxy NWE Barges (Argus) (34,986 gallons) Futures","迷你 RBOB 汽油与 Eurobob 非氧化 NWE 驳船（阿格斯）（34,986 加仑）期货",能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PPL,PJM JCPL Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM JCPL 区域峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PPP,PP Polypropylene (PCW) Financial Futures,PP 聚丙烯 (PCW) 金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PPW,PP Polypropylene (PCW) BALMO Futures,PP 聚丙烯 (PCW) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PQO,PJM Duquesne Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM 杜肯区非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PQP,PJM Duquesne Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM 杜肯区峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PR4,D4 Biodiesel RINs (OPIS) Previous Year Futures,D4 生物柴油 RIN (OPIS) 上一年期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PR6,D6 Biodiesel RINs (OPIS) Previous Year Futures,D6 生物柴油 RIN (OPIS) 上一年期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PRO,PJM ATSI Zone Off-Peak Calendar-Day 5 MW Real-Time LMP Futures,PJM ATSI 区域非高峰日历日 5 兆瓦实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PRP,PJM ATSI Zone Peak Calendar-Day 5 MW Real-Time LMP Futures,PJM ATSI 区域峰值日历日 5 MW 实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PSO,PJM PSEG Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PSEG 区域非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PSP,PJM PSEG Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PSEG 区域峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PTL,MISO Indiana Hub Real-Time Peak Calendar-Day 5 MW Futures,MISO 印第安纳中心实时峰值日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PTO,PJM JCPL Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM JCPL 区域非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PUO,PJM DPL Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM DPL 区非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PUP,PJM DPL Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM DPL 区域峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PVO,PJM PECO Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PECO 区非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PVP,PJM PECO Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PECO 区域峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PWL,PJM Western Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,PJM Western Hub 日前非高峰日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PXO,PJM PEPCO Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PEPCO 区非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PXP,PJM PEPCO Zone Peak Calendar-Day 5 MW Day-Ahead LMP 5 MW Futures,PJM PEPCO 区域峰值日历日 5 MW 日前 LMP 5 MW 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PYO,PJM Eastern Hub Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM 东部中心非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PZO,PJM APS Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM APS 区非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PZP,PJM APS Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM APS 区域峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,QCS,WTI Quarterly Financial Futures,WTI 季度金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,QH,E-mini NY Harbor ULSD Futures,E-迷你纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,QU,E-mini RBOB Gasoline Futures,E-mini RBOB 汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R4B,D4 Biodiesel RINs (OPIS) BALMO Futures,D4 生物柴油 RIN (OPIS) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R53,European FOB Rdam Marine Fuel 0.5% (Platts) vs. European 3.5% FOB Barges (Platts) Futures,欧洲 FOB Rdam 船用燃料 0.5%（普氏）与欧洲 3.5% FOB 驳船（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R5B,European FOB Rdam Marine Fuel 0.5% Barges (Platts) BALMO Futures,欧洲 FOB Rdam 船用燃料 0.5% 驳船（普氏） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R5E,European FOB Rdam Marine Fuel 0.5% (Platts) vs. European 3.5% FOB Barges (Platts) BALMO Futures,欧洲 FOB Rdam 船用燃料 0.5%（普氏）与欧洲 3.5% FOB 驳船（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R5F,European FOB Rdam Marine Fuel 0.5% Barges (Platts) Futures,欧洲 FOB Rdam 船用燃料 0.5% 驳船 (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R5M,Mini European FOB Rdam Marine Fuel 0.5% Barges (Platts) Futures,小型欧洲 FOB Rdam 船用燃料 0.5% 驳船 (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R5O,Micro European FOB Rdam Marine Fuel 0.5% Barges (Platts) Futures,微型欧洲 FOB Rdam 船用燃料 0.5% 驳船 (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R6B,D6 Ethanol RINs (OPIS) BALMO Futures,D6 乙醇 RIN (OPIS) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,R7L,PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,PJM AEP 代顿中心日前非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RBB,RBOB Gasoline Brent Crack Spread Futures,RBOB 布伦特汽油裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RBF,RME Biodiesel FOB Rdam (Argus) (RED Compliant) Futures,RME 生物柴油 FOB Rdam (Argus)（符合 RED 标准）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RBM,Mini European FOB Rdam Marine Fuel 0.5% Barges (Platts) BALMO Futures,小型欧洲 FOB Rdam 船用燃料 0.5% 驳船（普氏） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RGF,"RBOB Gasoline vs Eurobob Non-Oxy NWE Barges (Argus) (349,860 gallons) Futures","RBOB 汽油 vs Eurobob 非氧化 NWE 驳船（阿格斯）（349,860 加仑）期货",能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RGI,Regional Greenhouse Gas Initiative (RGGI) CO2 Allowance Futures,区域温室气体倡议 (RGGI) 二氧化碳配额期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RKA,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) Futures,新加坡喷气煤油 (Platts) 与柴油 (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RLX,RBOB Gasoline Financial Futures,RBOB 汽油金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RN3,D3 Cellulosic RINs (OPIS) Futures,D3 纤维素 RIN (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RN4,D4 Biodiesel RINs (OPIS) Futures,D4 生物柴油 RIN (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RN6,D6 Ethanol RINs (OPIS) Futures,D6 乙醇 RIN (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RT,RBOB Gasoline Bullet Futures,RBOB 汽油子弹期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RVR,Gulf Coast Unl 87 Gasoline M2 (Platts) vs. RBOB Gasoline Futures,墨西哥湾沿岸 Unl 87 汽油 M2（普氏能源资讯）与 RBOB 汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,S53,Singapore FOB Marine Fuel 0.5% (Platts) vs. Singapore 380 CST Fuel Oil (Platts) Futures,新加坡 FOB 船用燃料油 0.5%（普氏）与新加坡 380 CST 燃料油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,S5B,Singapore FOB Marine Fuel 0.5% (Platts) BALMO Futures,新加坡 FOB 船用燃料 0.5%（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,S5F,Singapore FOB Marine Fuel 0.5% (Platts) Futures,新加坡 FOB 船用燃料 0.5%（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,S5M,Mini Singapore FOB Marine Fuel 0.5% (Platts) Futures,迷你新加坡 FOB 船用燃料 0.5%（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,S5O,Micro Singapore FOB Marine Fuel 0.5% (Platts) Futures,微型新加坡 FOB 船用燃料 0.5%（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SBM,Mini Singapore FOB Marine Fuel 0.5% (Platts) BALMO Futures,迷你新加坡 FOB 船用燃料 0.5%（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SCB,Southern Green Canyon (Argus) vs. WTI Trade Month BALMO Futures,Southern Green Canyon (Argus) 与 WTI 交易月 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SCT,Southern Green Canyon (Argus) vs. WTI Trade Month Futures,南绿峡谷 (阿格斯) 与 WTI 交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SDD,PJM Western Hub Day-Ahead Peak Average Price Monthly Futures 5 MW,PJM Western Hub 日前峰值平均价格每月期货 5 兆瓦,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SE,Singapore Fuel Oil 380 cst (Platts) Futures,新加坡燃料油 380 cst（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SF1,Singapore Fuel Oil 180cst (Platts) Brent Crack Spread (1000mt) Futures,新加坡燃料油 180cst（普氏）布伦特裂缝价差（1000 吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SF3,Singapore Fuel Oil 380cst (Platts) Brent Crack Spread (1000mt) Futures,新加坡燃料油 380cst（普氏）布伦特裂缝价差（1000 吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SFB,Singapore Fuel Oil 380 cst (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,新加坡燃油 380 cst（普氏）与欧洲 3.5% 燃油驳船 FOB Rdam（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SGF,Singapore Gasoline 92 Unleaded (Platts) vs Gasoline Eurobob Non-Oxy NWE Barges (Argus) Futures,新加坡 92 无铅汽油（普氏）与 Eurobob 无氧 NWE 驳船（阿格斯）汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SGO,Singapore Gasoline 92 Unleaded (Platts) vs. Gasoline Eurobob Non-Oxy NWE Barges (Argus) BALMO Futures,新加坡 92 无铅汽油（普氏）与 Eurobob 无氧 NWE 驳船（阿格斯）汽油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SMU,Singapore Mogas 95 Unleaded (Platts) vs. Singapore Mogas 92 Unleaded (Platts) Futures,新加坡 Mogas 95 无铅（普氏）与新加坡 Mogas 92 无铅（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SR5,Singapore FOB Marine Fuel 0.5% (Platts) vs. European FOB Rdam Marine Fuel 0.5% Barges (Platts) Futures,新加坡 FOB 船用燃料 0.5%（普氏）与欧洲 FOB Rdam 船用燃料 0.5% 驳船（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SRB,Singapore FOB Marine Fuel 0.5% (Platts) vs. European FOB Rdam Marine Fuel 0.5% Barges (Platts) BALMO Futures,新加坡 FOB 船用燃料 0.5%（普氏）与欧洲 FOB Rdam 船用燃料 0.5% 驳船（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,STI,Singapore Fuel Oil 380 cst (Platts) 6.35 Dubai (Platts) Crack Spread Futures,新加坡燃料油 380 cst（普氏）6.35 迪拜（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,STR,Singapore Fuel Oil 180 cst (Platts) 6.35 Brent Crack Spread Futures,新加坡燃料油 180 cst（普氏能源资讯）6.35 布伦特裂缝价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,STS,Singapore Fuel Oil 180 cst (Platts) 6.35 Dubai (Platts) Crack Spread Futures,新加坡燃料油 180 cst（普氏）6.35 迪拜（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,STY,Singapore Fuel Oil 180 cst (Platts) 6.35 Dubai (Platts) Crack Spread BALMO Futures,新加坡燃料油 180 cst（普氏）6.35 迪拜（普氏）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T1B,Freight Route South Korea to Singapore (TC11) (Baltic) BALMO Futures,货运路线 韩国至新加坡 (TC11) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T2B,Freight Route West Africa to UK Continent (TD20) (Baltic) BALMO Futures,货运路线 西非至英国大陆 (TD20) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T2D,Freight Route West Africa to UK Continent (TD20) (Baltic) Futures,货运路线 西非至英国大陆 (TD20)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T2M,Mini Freight Route West Africa to UK Continent (TD20) (Baltic) Daily Futures,迷你货运航线西非至英国大陆 (TD20)（波罗的海）每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T3B,Freight Route Middle East to China (TD3C) (Platts) BALMO Futures,中东至中国货运路线 (TD3C)（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T3L,NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW Futures,NYISO G 区日前峰值日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T4B,Freight Route US Gulf to Continent (TC14) (Baltic) BALMO Futures,货运路线 美国海湾至大陆 (TC14)（波罗的海） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T4D,Mini Freight Route US Gulf to Continent (TC14) (Baltic) Daily Futures,迷你货运航线美国海湾至大陆 (TC14)（波罗的海）每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T5B,Freight Route Med to Far East (TC15) (Baltic) BALMO Futures,货运路线 地中海至远东 (TC15)（波罗的海） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T5C,"Freight Route Skikda, Algeria to Japan (TC15) (Baltic) Futures",货运路线 阿尔及利亚斯基克达至日本 (TC15)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T6B,"Freight Route Skikda, Algeria to Euromed (TC6) (Baltic) BALMO Futures",货运路线 阿尔及利亚斯基克达至 Euromed (TC6)（波罗的海）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T7C,Freight Route Middle East to East Africa (TC17) (Baltic) Futures,中东至东非货运航线（TC17）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T7K,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Futures,汽油 Euro-bob Oxy NWE 驳船（阿格斯）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T8B,Freight Route Kuwait to Singapore (TD8) (Baltic) BALMO Futures,货运路线 科威特至新加坡 (TD8) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,T8C,Freight Route US Gulf to Brazil (TC18) (Baltic) Futures,货运路线 美国海湾至巴西 (TC18)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TAS,Dutch TTF Natural Gas Calendar Month TAS,荷兰 TTF 天然气日历月 TAS,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TB2,Freight Route West Coast India to Japan (TC12) (Baltic) BALMO Futures,货运路线 印度西海岸至日本 (TC12) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TBK,WTI-Brent Trade Month Financial Futures,WTI-布伦特贸易月金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TC1,Freight Route South Korea to Singapore (TC11) (Baltic) Futures,货运路线 韩国至新加坡 (TC11)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TC6,"Freight Route Skikda, Algeria to Euromed (TC6) (Baltic) Futures",货运路线 阿尔及利亚斯基克达至 Euromed (TC6)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TC7,Freight Route Singapore to East Coast Australia (TC7) (Baltic) Futures,货运路线 新加坡至澳大利亚东海岸 (TC7)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TCS,WTI Trade Month Futures,WTI 交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TEF,Mont Belvieu Normal Butane (OPIS) vs European Butane CIF ARA (Argus) Futures,Mont Belvieu 普通丁烷 (OPIS) 与欧洲丁烷 CIF ARA (阿格斯) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TF2,Freight Route Middle East to UK Continent (TC20) (Baltic) Futures,货运路线 中东至英国大陆 (TC20)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TFB,Freight Route Middle East to UK Continent (TC20) (Baltic) BALMO Futures,货运路线 中东至英国大陆 (TC20) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TFU,Dutch TTF Natural Gas (USD/MMBtu) Futures,荷兰 TTF 天然气（美元/MMBtu）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TH,Freight Middle East to Japan (TC5) (Platts) Futures,中东至日本货运 (TC5) (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,THD,Henry Hub TTF (ICIS Heren) Natural Gas Spread Futures,Henry Hub TTF (ICIS Heren) 天然气价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TIL,WTL Midland (Argus) vs. WTI Calendar Month Futures,WTL Midland (Argus) 与 WTI 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TK,Freight Route North Sea to Continent (TD7) (Baltic) Futures,货运路线 北海至大陆 (TD7)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TKB,Freight Route North Sea to UK Continent (TD7) (Baltic) BALMO Futures,货运路线 北海至英国大陆 (TD7) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TLB,Freight Route Middle East to China (TD3C) (Baltic) BALMO Futures,中东至中国货运航线 (TD3C) (波罗的海) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TLD,Mini Freight Route Middle East to China (TD3C) (Baltic) Daily Futures,迷你货运航线中东至中国 (TD3C)（波罗的海）每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TM,Freight Route Continent to US Atlantic Coast (TC2) (Baltic) Futures,货运路线 大陆至美国大西洋海岸 (TC2)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TMB,Freight Route Continent to US Atlantic Coast (TC2) (Baltic) BALMO Futures,货运路线 大陆至美国大西洋海岸 (TC2)（波罗的海） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TMD,Mini Freight Route Continent to US Atlantic Coast (TC2) (Baltic) Daily Futures,迷你货运航线大陆至美国大西洋海岸 (TC2)（波罗的海）每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTB,Dutch TTF Natural Gas Financial (USD/MMBtu) (ICIS Heren) M-1 Average Price Calendar Month Futures,荷兰 TTF 天然气金融 (USD/MMBtu) (ICIS Heren) M-1 平均价格日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTD,Dutch TTF Natural Gas Daily Futures,荷兰 TTF 天然气每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTE,Dutch TTF Natural Gas (USD/MMBtu) (ICIS Heren) Front Month Futures,荷兰 TTF 天然气（美元/百万英热单位）（ICIS Heren）即月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTG,Dutch TTF Natural Gas Financial Calendar Month Futures,荷兰 TTF 天然气金融日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTH,Dutch TTF Natural Gas Physical Day-Ahead/Weekend (ICIS Heren) Calendar Month Futures,荷兰 TTF 天然气现货/周末 (ICIS Heren) 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTI,Dutch TTF Natural Gas Financial Day-Ahead/Weekend (ICIS Heren) Calendar Month Futures,荷兰 TTF 天然气金融日前/周末 (ICIS Heren) 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTP,Dutch TTF Natural Gas (Early Expiry) Financial Calendar Month Futures,荷兰 TTF 天然气（提前到期）财务日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTS,Dutch TTF Natural Gas Financial Calendar Month TAS,荷兰 TTF 天然气财务日历月 TAS,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TW,Gasoil 0.1% Cargoes CIF NWE (Platts) Futures,柴油 0.1% 货物 CIF NWE (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,U7,Diesel 10ppm Barges FOB ARA (Platts) BALMO Futures,柴油 10ppm 驳船 FOB ARA (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,U9,Low Sulphur Gasoil BALMO Futures,低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UA,Singapore Fuel Oil 180 cst (Platts) Futures,新加坡燃料油 180 cst（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCD,UCO fob ARA (Argus) Futures,UCO FOB ARA（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCG,UCO fob ARA (Argus) vs. Low Sulphur Gasoil Futures,UCO FOB ARA（阿格斯）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCM,Mini ULSD 10ppm Cargoes CIF MED (Platts) vs. Low Sulphur Gasoil Futures,小型 ULSD 10ppm 货物 CIF MED（普氏）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCR,UCOME Biodiesel (RED Compliant) FOB ARA (Argus) Futures,UCOME 生物柴油（符合 RED 标准）FOB ARA（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCS,UCOME Biodiesel (RED Compliant) FOB ARA (Argus) vs Low Sulphur Gasoil Futures,UCOME 生物柴油（符合 RED 标准）FOB ARA（阿格斯）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UDL,PJM Northern Illinois Hub Real-Time Peak Calendar-Day 5 MW Futures,PJM 北伊利诺伊州中心实时峰值日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UHC,UHC Clearbrook (EMDA) Monthly Futures,UHC Clearbrook (EMDA) 月度期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UHT,UHC Clearbrook (EMDA) vs. WTI Trade Month Futures,UHC Clearbrook (EMDA) 与 WTI 交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UKG,UK NBP Natural Gas Calendar Month Futures,英国 NBP 天然气历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ULB,NY ULSD (Argus) vs. NY Harbor ULSD BALMO Futures,纽约 ULSD（阿格斯）与纽约港 ULSD BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UP5,USGC Marine Fuel 0.5% Barges (Platts) (mt) Futures,USGC 船用燃料 0.5% 驳船（普氏）（公吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UPB,USGC Marine Fuel 0.5% Barges (Platts) (mt) BALMO Futures,USGC 船用燃料 0.5% 驳船（普氏）（公吨） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UPM,USGC Marine Fuel 0.5% Barges (Platts) (mt) vs. European FOB Rdam Marine Fuel 0.5% Barges (Platts) Futures,USGC 船用燃料 0.5% 驳船（普氏）（公吨）与欧洲 FOB Rdam 船用燃料 0.5% 驳船（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UR,European Jet Kerosene Barges FOB Rdam (Platts) Futures,欧洲喷气煤油驳船 FOB Rdam (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,USC,USGC to China (Platts) Dirty Freight Futures,USGC 至中国（普氏）脏货期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,USE,USGC to UK Continent (Platts) Dirty Freight Futures,USGC 至英国大陆（普氏）脏货期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UV,European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,欧洲 3.5% 燃料油驳船 FOB Rdam (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,V3L,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,PJM AEP 代顿中心实时非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,V7,Argus WTI Trade Month Futures,阿格斯 WTI 贸易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,VDL,PJM AEP Dayton Hub Real-Time Peak Calendar-Day 5 MW Futures,PJM AEP 代顿中心实时峰值日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,VR,NY 1% Fuel Oil (Platts) vs. Gulf Coast HSFO (Platts) Futures,纽约 1% 燃料油 (Platts) 与墨西哥湾沿岸 HSFO (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
